Fe Loading,Layer Thickness,Infill Density,Green Density,Shrinkage,Surface Roughness
-2.236067977,-6.20634E-16,0,-0.644630201,1.134255165,-0.919577844
1.118033989,-1.118033989,1.118033989,0.813190748,-0.486109357,-0.75801219
0,2.236067977,0,-0.690187105,1.134255165,1.396196521
1.118033989,1.118033989,-1.118033989,0.357621701,0.418594168,2.742576965
0,-6.20634E-16,0,0.357621701,0.229551641,0.049816076
0,-6.20634E-16,0,0.813190748,-0.216048603,-0.057894359
0,-6.20634E-16,2.236067977,0.448735511,1.134255165,-0.865722626
-1.118033989,1.118033989,-1.118033989,-2.148008054,0.418594168,0.399874992
2.236067977,-6.20634E-16,0,0.904304557,-1.390812881,1.396196521
0,-6.20634E-16,0,0.357621701,-0.486109357,-0.704156972
-1.118033989,-1.118033989,1.118033989,1.040975271,1.309794655,-0.219460012
0,-6.20634E-16,-2.236067977,-2.831361623,-1.296291617,1.396196521
1.118033989,1.118033989,1.118033989,0.266507892,0.418594168,0.049816076
0,-2.236067977,0,0.949861462,-1.566352371,-0.75801219
0,-6.20634E-16,0,-0.325731868,0.418594168,-0.057894359
-1.118033989,1.118033989,1.118033989,-0.462402582,1.674376672,-0.838795017
